project,gamma,activity_raw,target,activity_norm,viability_v
NGINX,0.9998162343579163,52.083333333333336,1,0.0005794147434859386,0.0005793082669635691
REDIS,0.9025728647603324,171.58333333333334,1,0.002855800338441654,0.0025775678926508103
HTTPD_APACHE,0.9945806698390496,31.916666666666668,1,0.00019525483136649438,0.00019419668096979864
SQLITE,0.9138763497994354,784.8333333333334,1,0.014537754029710208,0.013285709586953598
POSTGRES,0.9769425240245345,1195.0,1,0.022351122159676752,0.02183576169745531
GCC,0.9757341371994607,6530.25,1,0.12398364304241714,0.1209750729708388
RUST,0.918085053519087,52517.166666666664,1,0.999999999999981,0.9180850535190695
PHP,0.9555217518696884,1918.25,1,0.036128493553415,0.03452156145257184
TENSORFLOW,0.7832183184187628,7778.166666666667,1,0.1477555219018745,0.11572483140107281
PYTORCH,0.8519777894466372,6735.75,1,0.12789826429566736,0.10896648048868444
NODE,0.9564656146776565,3133.5833333333335,1,0.05927968429039838,0.0566989796727133
CPYTHON,0.8616785286684218,1220.6666666666667,1,0.022840052956919682,0.019680783226627387
REACT,0.9196941526980286,986.0833333333334,1,0.01837141596263772,0.016896083837621135
SCIPY,0.8596060501145749,1641.0,1,0.030847088480599336,0.0265163438863428
ANGULAR,0.9101169268246055,2625.6666666666665,1,0.04960425179300989,0.04514566919928809
RAILS,0.949241467395804,1282.1666666666667,1,0.02401158194511865,0.02279278928007902
VUE,0.992123831640519,86.75,1,0.0012397888072945699,0.0012300240219181176
OCTAVE,0.9711353476280212,1059.9166666666667,1,0.019777885723537832,0.01920700392747519
DJANGO,0.9953765553808033,209.08333333333334,1,0.0035701472824654135,0.003553640904222559
METEOR,0.9653828381869619,1041.75,0,0.019431824315099655,0.018759149708461324
VSCODE,0.7672441217576531,27705.416666666668,1,0.5273547256431403,0.4046098133308193
GIT_SCM,0.9036633334697269,1108.6666666666667,1,0.02070653675076872,0.01871173802481307
FFMPEG,0.947417144492675,1145.3333333333333,1,0.021405009318258617,0.02027947280614368
BITCOIN,0.9520594205056301,1371.5,1,0.025713315109548582,0.024480603882475485
WIRESHARK,0.9757709245394408,1487.4166666666667,1,0.027921440885408697,0.027244930187228587
CURL,0.8825954781082258,957.5,1,0.017826924847526276,0.015733963259001865
GIMP,0.941294441378199,900.75,1,0.01674587980557032,0.01576280357697078
EMACS,0.9894576880523239,2100.3333333333335,1,0.03959704482606371,0.03917960042730123
WORDPRESS,0.9864638456835749,390.1666666666667,1,0.00701964930327348,0.006924630247057185
MEDIAWIKI,0.9414659936798827,5310.0,1,0.100738793483884,0.09484214830941734
MATPLOTLIB,0.9248137745155378,1122.75,1,0.020974813714190976,0.01939779664078122
ANSIBLE,0.8251294819836704,239.75,1,0.004154324338911511,0.003427855489758209
FASTAPI,0.9154117668337216,42.333333333333336,1,0.000393684538039761,0.0003603834585420951
OPENCV,0.889096204218995,242.83333333333334,1,0.004213059532086797,0.0037458152381270268
SUBVERSION,0.9998864257175227,37.833333333333336,1,0.00030796290475690986,0.00030792792809097245
PANDAS,0.9699293768332478,299.25,1,0.005287754823429209,0.005128748740735692
KUBERNETES,0.9702102918747246,8500.25,1,0.16151066916846535,0.15669931347481886
SCIKIT_LEARN,0.880223685486048,409.0,1,0.007378410212938747,0.00649465143066084
FLASK,0.6843570524972166,59.583333333333336,1,0.0007222841322906907,0.0004943002398399667
LIBREOFFICE,0.9470465251489517,5263.833333333333,1,0.09985935302390808,0.0945714532849146
WEBKIT,0.9390322373297706,18965.75,1,0.3608706143066162,0.3388691403389105
FREEBSD,0.8869957259403232,5734.25,1,0.1088204385772728,0.09652326391299244
LLVM,0.9551538690087445,16649.416666666668,1,0.3167461972930953,0.3025413558383071
LINUX,0.9474156122017156,32016.416666666668,1,0.6094760503281118,0.5774271253438916
WENYAN_LANG,0.5719687222077652,290.27272727272725,0,0.005116744494405339,0.002926617810328639
TSDX,0.928625053761465,123.08333333333333,0,0.0019319116241709238,0.0017940215358581233
ZY_PLAYER,0.9994467765171673,21.666666666666668,0,0.0,0.0
SNOWPACK,0.9226892979106184,285.75,0,0.005030589923580656,0.004641671484664866
GENERIC_TOOLS,0.8496681489238359,3240.5833333333335,0,0.06131795423734617,0.052099912672642405
DALLE_MINI,0.9857513167301223,40.583333333333336,0,0.0003603483473186522,0.00035521385785088484
